Date+Time,Tair-wet,RH-wet
2024-04-17T20:50:51.210000+02:00,20.502167,37.068589
2024-04-17T20:50:51.730000+02:00,20.512848,37.080034
2024-04-17T20:50:52.230000+02:00,20.486145,37.102922
2024-04-17T20:50:52.740000+02:00,20.502167,37.068589
2024-04-17T20:50:53.240000+02:00,20.494156,37.127718
2024-04-17T20:50:53.750000+02:00,20.507507,37.0972
2024-04-17T20:50:54.260000+02:00,20.496826,37.087663
2024-04-17T20:50:54.760000+02:00,20.502167,37.068589
2024-04-17T20:50:55.270000+02:00,20.507507,37.083848
2024-04-17T20:50:55.780000+02:00,20.496826,37.095293
2024-04-17T20:50:56.280000+02:00,20.510178,37.104829
2024-04-17T20:50:56.790000+02:00,20.504837,37.013275
2024-04-17T20:50:57.300000+02:00,20.491486,37.104829
2024-04-17T20:50:57.810000+02:00,20.515518,37.080034
2024-04-17T20:50:58.320000+02:00,20.510178,37.041886
2024-04-17T20:50:58.830000+02:00,20.499496,37.036164
2024-04-17T20:50:59.330000+02:00,20.486145,37.043793
2024-04-17T20:50:59.840000+02:00,20.472794,37.055238
2024-04-17T20:51:00.350000+02:00,20.475464,37.055238
2024-04-17T20:51:00.850000+02:00,20.478134,37.055238
2024-04-17T20:51:01.360000+02:00,20.470123,37.047608
2024-04-17T20:51:01.870000+02:00,20.491486,37.078126
2024-04-17T20:51:02.380000+02:00,20.475464,37.064775
2024-04-17T20:51:02.880000+02:00,20.459442,37.093385
2024-04-17T20:51:03.390000+02:00,20.467453,37.0972
2024-04-17T20:51:03.900000+02:00,20.475464,37.160143
2024-04-17T20:51:04.410000+02:00,20.448761,37.114366
2024-04-17T20:51:04.920000+02:00,20.454102,37.120089
2024-04-17T20:51:05.430000+02:00,20.454102,37.154421
2024-04-17T20:51:05.940000+02:00,20.464783,37.144884
2024-04-17T20:51:06.450000+02:00,20.462112,37.148699
2024-04-17T20:51:06.960000+02:00,20.478134,37.179217
2024-04-17T20:51:07.470000+02:00,20.470123,37.163958
2024-04-17T20:51:07.970000+02:00,20.451431,37.127718
2024-04-17T20:51:08.480000+02:00,20.456772,37.186847
2024-04-17T20:51:08.990000+02:00,20.467453,37.154421
2024-04-17T20:51:09.500000+02:00,20.454102,37.127718
2024-04-17T20:51:10.010000+02:00,20.462112,37.137255
2024-04-17T20:51:10.520000+02:00,20.464783,37.154421
2024-04-17T20:51:11.030000+02:00,20.472794,37.144884
2024-04-17T20:51:11.540000+02:00,20.475464,37.108644
2024-04-17T20:51:12.050000+02:00,20.464783,37.158236
2024-04-17T20:51:12.560000+02:00,20.459442,37.120089
2024-04-17T20:51:13.070000+02:00,20.464783,37.154421
2024-04-17T20:51:13.580000+02:00,20.44075,37.127718
2024-04-17T20:51:14.090000+02:00,20.448761,37.095293
2024-04-17T20:51:14.600000+02:00,20.454102,37.154421
2024-04-17T20:51:15.100000+02:00,20.448761,37.181125
2024-04-17T20:51:15.610000+02:00,20.454102,37.158236
2024-04-17T20:51:16.120000+02:00,20.454102,37.120089
2024-04-17T20:51:16.620000+02:00,20.44075,37.165866
2024-04-17T20:51:17.130000+02:00,20.451431,37.181125
